	dim	walk	num_walk	p	q	score	std
0	50.0	5.0	5.0	0.25	0.25	0.6946825396825396	0.25162461542930786
1	50.0	5.0	5.0	0.5	0.25	0.7724603174603175	0.21618209957433304
2	50.0	5.0	5.0	0.75	0.25	0.7137301587301588	0.22683479658842173
3	50.0	5.0	5.0	1.0	0.25	0.6137301587301588	0.2901724602531095
4	50.0	5.0	5.0	1.25	0.25	0.6946825396825396	0.20271340574250357
5	50.0	5.0	5.0	1.5	0.25	0.7581746031746032	0.22957069105612743
6	50.0	5.0	5.0	1.75	0.25	0.6137301587301588	0.2901724602531095
7	50.0	5.0	5.0	2.0	0.25	0.6803968253968253	0.205838210395093
8	50.0	5.0	5.0	0.25	0.5	0.7391269841269841	0.20387591325866497
9	50.0	5.0	5.0	0.5	0.5	0.747063492063492	0.24148800965212439
10	50.0	5.0	5.0	0.75	0.5	0.628015873015873	0.29125276754594903
11	50.0	5.0	5.0	1.0	0.5	0.728015873015873	0.2218670773233379
12	50.0	5.0	5.0	1.25	0.5	0.6391269841269841	0.2817637038946846
13	50.0	5.0	5.0	1.5	0.5	0.7724603174603175	0.21618209957433304
14	50.0	5.0	5.0	1.75	0.5	0.6137301587301588	0.2901724602531095
15	50.0	5.0	5.0	2.0	0.5	0.6946825396825396	0.20271340574250357
16	50.0	5.0	5.0	0.25	0.75	0.7391269841269841	0.20387591325866497
17	50.0	5.0	5.0	0.5	0.75	0.7391269841269841	0.20387591325866497
18	50.0	5.0	5.0	0.75	0.75	0.747063492063492	0.24148800965212439
19	50.0	5.0	5.0	1.0	0.75	0.7057936507936508	0.18486171484523314
20	50.0	5.0	5.0	1.25	0.75	0.7137301587301588	0.22683479658842173
21	50.0	5.0	5.0	1.5	0.75	0.747063492063492	0.24148800965212439
22	50.0	5.0	5.0	1.75	0.75	0.728015873015873	0.2218670773233379
23	50.0	5.0	5.0	2.0	0.75	0.6613492063492064	0.3120975715700047
24	50.0	5.0	5.0	0.25	1.0	0.747063492063492	0.24148800965212439
25	50.0	5.0	5.0	0.5	1.0	0.728015873015873	0.2218670773233379
26	50.0	5.0	5.0	0.75	1.0	0.7724603174603175	0.21618209957433304
27	50.0	5.0	5.0	1.0	1.0	0.7613492063492063	0.23480854522366282
28	50.0	5.0	5.0	1.25	1.0	0.728015873015873	0.2218670773233379
